condition_type,condition_value,day_type,rank_in_group,end_station_name,return_count,return_share,total_returns_in_group,end_lat,end_lng
rain,rainy,weekend,2,Streeter Dr & Grand Ave,4045,0.011675532759322387,346451,41.892278002970286,-87.61204300164603
rain,rainy,weekend,3,DuSable Lake Shore Dr & North Blvd,4004,0.011557189905643223,346451,41.911722,-87.626804
rain,rainy,weekend,4,Michigan Ave & Oak St,3652,0.01054117321064162,346451,41.90096039009614,-87.62377663865593
rain,rainy,weekend,5,Navy Pier,3445,0.00994368612011511,346451,41.892278,-87.612043
rain,rainy,weekend,6,Theater on the Lake,3331,0.009614635258665728,346451,41.926277,-87.630834
rain,rainy,weekend,7,Millennium Park,2968,0.008566868041945326,346451,41.8810317,-87.62408432
rain,rainy,weekend,8,Kingsbury St & Kinzie St,2680,0.007735581655125833,346451,41.889172621529056,-87.63849963502554
rain,rainy,weekend,9,Shedd Aquarium,2652,0.00765476214529616,346451,41.86722596201104,-87.61535540410257
rain,rainy,weekend,10,Wells St & Concord Ln,2619,0.00755951058013976,346451,41.912133,-87.634656
rain,rainy,weekend,11,Dusable Harbor,2617,0.007553737758009069,346451,41.88697599432289,-87.61281299950515
rain,rainy,weekend,12,Clark St & Elm St,2541,0.007334370517042814,346451,41.90301732164141,-87.63152289470456
rain,rainy,weekend,13,Clark St & Lincoln Ave,2521,0.007276642295735905,346451,41.915689,-87.6346
rain,rainy,weekend,14,Clark St & Armitage Ave,2452,0.007077479932227068,346451,41.918305755768,-87.63628183370878
rain,rainy,weekend,15,Wells St & Elm St,2348,0.00677729318143114,346451,41.903222,-87.634324
rain,rainy,weekend,16,State St & Chicago Ave,2071,0.005977757316330448,346451,41.896617200407526,-87.62857854366302
rain,rainy,weekend,17,Indiana Ave & Roosevelt Rd,2049,0.005914256272892848,346451,41.86788801019692,-87.6230410031074
rain,rainy,weekend,18,DuSable Lake Shore Dr & Diversey Pkwy,2006,0.005790140597082993,346451,41.932588,-87.636427
rain,rainy,weekend,19,Wilton Ave & Belmont Ave,1994,0.005755503664298847,346451,41.940231918108594,-87.65294373035431
rain,rainy,weekend,20,Michigan Ave & 8th St,1969,0.005683343387665211,346451,41.87277296771354,-87.62398098838872
snow,no_snow,weekday,1,Kingsbury St & Kinzie St,30002,0.009942351461229402,3017596,41.889172621529056,-87.63849963502554
snow,no_snow,weekday,2,Clinton St & Washington Blvd,27920,0.009252398266699718,3017596,41.883378993326986,-87.64117008864396
snow,no_snow,weekday,3,Canal St & Madison St,25460,0.008437179794777034,3017596,41.882409,-87.639767
snow,no_snow,weekday,4,Clinton St & Madison St,24131,0.007996762986165145,3017596,41.88275006331282,-87.64119022354309
snow,no_snow,weekday,5,Michigan Ave & Oak St,21012,0.00696315875286155,3017596,41.90096039009614,-87.62377663865593
